Burke,6
Knut,6
Snapes,6
Hippogriff,6
Kiss,6
Celestina,6
Susan Bones,6
Selwyn,6
Sturgis,6
Frank Bryce,6
Ludo Bagman's,6
Dolores Jane Umbridge,6
Kill,6
Weasleyâ€,6
Levski,6
Burrow,6
Howler,6
Finnigan,6
Horace Slughorn,6
Saturn,6
Miss Edgecombe,6
Herbology,6
Nymphadora,6
Dennis Creevey,6
Bode,6
Aaah,6
Sanguini,5
Jordan,5
Crack,5
Wheezy,5
Chang,5
Charlie Weasley,5
Arry Potter,5
Dudley Dursley,5
Sturgis Podmore,5
Remembrall,5
Hollow,5
Smith,5
Albert,5
Wisteria Walk,5
Al,5
Tha,5
Dudders,5
Godric’s Hollow,5
Ravenclaws,5
Don,5
Minerva McGonagall,5
Carrows,5
Resurrection Stone,5
Gwenog Jones,5
Wood,5
Rosier,5
Dirk Cresswell,5
Hestia Jones,5
Leanne,5
H. Potter,5
Firewhisky,5
Shield Charm,5
Lord Voldemort,5
Harry Potters,5
Montague,5
Secret-Keeper,5
Madam Hooch's,5
Mr Filch,5
Barry,5
Harry - ',5
Amos,5
Dimitrov,5
You-Know,5
Pansy Parkinson,5
Seamus,4
Foul,4
Vanishing Spells,4
Magical Maintenance,4
Occlumens,4
Mafalda Hopkirk,4
Georges,4
Archie,4
Bole,4
Travels,4
Wands,4
Madame Maxime's,4
Mrs Black's,4
Piers,4
Volkov,4
Troll,4
Peverell,4
Quality Quidditch Supplies,4
motherâ€,4
Willy Widdershins,4
Fenrir Greyback,4
Cauldron Cakes,4
Gellert,4
Riddles,4
Filthy,4
Head Boy,4
Miranda Goshawk,4
Nicholas de Mimsy-Porpington,4
Susan,4
Peeves,4
Oliver Wood's,4
Bertha,4
Lily Evans,4
Hepzibah Smith,4
Merlin,4
Secrecy Sensor,4
Doxy,4
Cormac,4
Penelope Clearwater,4
Lee Jordan's,4
Knarls,4
Brown,4
Mr Malfoy,4
Celestina Warbeck,4
Dennis,4
Vampires,4
Smeltings,4
Fleur Delacour,4
Spellotape,4
Argus,4
Patronuses,4
Nymphadora Tonks,4
Chocolate Frogs,4
Vernon,4
Sneakoscopes,4
Loony Lovegood,4
Golpalott,4
Nott,4
Elphias Doge,4
Ern,4
Abbott,4
Demelza Robins,4
Viktor,4
Davies,4
Uncle Algie,4
Apparition,4
Liar,4
Elphias,4
Loony,4
Hermes,3
Eileen Prince,3
Aunt Marge's,3
Rons,3
Potters,3
Surrey,3
Alecto,3
Barty Crouch's,3
Kevin,3
Euan Abercrombie,3
Warlock,3
Hassan Mostafa,3
Auntie Muriel,3
Olhivander,3
heâ€™,3
Auror Headquarters,3
Regulus,3
Snivellus,3
Narcissa Malfoy,3
Portkeys,3
Harry half,3
Yorkshire,3
Lucius Malfoy's,3
Tuney,3
Sybill Trelawney,3
Lucius,3
Catherine,3
Maxime,3
T. M. Riddle,3
Kent,3
Fungi,3
Alicia Spinner,3
Diffindo,3
Mullet,3
Aye,3
Amelia Bones,3
Ginnyâ€™,3
Cleansweep,3
Fawcett,3
Jump,3
Marvolo Gaunt,3
Hermione Granger's,3
Gryffindor Seeker,3
Farewell,3
Salazar Slytherin,3
Sneako,3
’s,3
Valentine,3
Tom Riddle's,3
Know-Who,3
Neville Longbottom's,3
Roger,3
Invisibility Cloaks,3
Foe-Glass,3
Alice,3
ex-Auror,3
Moaning Myrtle,3
Headmistress,3
Headquarters,3
Filibuster,3
Rose,3
Beauxbatons,3
Monsieur Delacour,3
NEWT,3
a Stunning Spell,3
Millicent Bulstrode's,3
Bettie Bott's,3
Goblin,3
Albus,3
Disapparate,3
Sirius Black,3
Nevilles,3
Which Broomstick,3
Tis,3
Bertie Bott's,3
Secrecy Sensors,3
Basil,3
Harry James Potter,3
Chaser,3
Doris Crockford,3
Gibbon,3
Malcolm,3
Jack Sloper,3
Shacklebolt,3
Dud,3
Olive Hornby,3
Adam,3
Wormtailâ€,3
Ignotus Peverell,3
Devil,3
Rapier,3
Cheer,3
Bill’s,3
Wilbert Slinkhard,3
Diagon Alley,3
Binky,3
Kendra Dumbledore,3
King,3
Antonin Dolohov,3
Teddy,3
Snuffles,3
Hmm,3
Golgomath,3
Fubster,3
Ron - ',2
Crucio,2
Moran,2
Said Hermione,2
