,location,name,span,verb
22350,83835,Voldemort,that Voldemort’s keeping a watch on,keeping
22351,83836,Hermione,” Hermione asked.,asked
22352,83841,Ron,"ment, Ron spoke up, evidently following his own train of thought.",spoke
22353,83844,Hermione,Hermione nodded.,nodded
22354,83846,Harry,Harry dragged his rucksack toward him and pulled out the fake Horcrux in,dragged
22355,83849,Harry,Harry read out.,read
22356,83850,Ron,” said Ron.,said
22357,83854,Hermione,"said Hermione, “to find out whether or not it’s destroyed.",said
22358,83856,Hermione,"Well,” said Hermione, “I’ve been researching that.”",said
22359,83860,Hermione,"“There weren’t,” said Hermione, who had turned pink.",said
22360,83863,Ron,"Ron sat up straight, wide-eyed.",sat
22361,83864,Hermione,"” said Hermione, looking from Harry to Ron with a",said
22362,83866,Dumbledore,even if Dumbledore had,had
22363,83870,Ron,” said Ron.,said
22364,83874,Hermione,"Well... it was easy,” said Hermione in a small voice.",said
22365,83880,Harry,"Harry asked, regarding Hermione with a mix¬",asked
22366,83882,Hermione,"Just after his—Dumbledore’s—funeral,” said Hermione in an even smaller",said
22367,83891,Dumbledore,Dumbledore would,would
22368,83893,Horcrux,"a Horcrux, is it?”",is
22369,83894,Ron,” said Ron.,said
22370,83896,Hermione,Hermione rummaged for a moment and then extracted from the pile a large,rummaged
22371,83902,Dumbledore,when Dumbledore removed it from the library,removed
22372,83904,Voldemort,Voldemort got all the instruction he needed from,got
22373,83923,Ron,” Ron asked.,asked
22374,83924,Hermione,"‘""Yes,” said Hermione with a hollow smile, “but it would be excruciatingly",said
22375,83928,Hermione,"Remorse,” said Hermione.",said
22376,83937,Hermione,"Hermione, now turning the fragile pages as if examining rotting",turning
22377,83940,Harry,"From all that I’ve read, what Harry did to Riddle",did
22378,83946,Hermione,"It doesn’t have to be a basilisk fang,” said Hermione patiently.",said
22379,83948,Horcrux,that the Horcrux can’t repair itself,repair
22380,83951,Harry,",” said Harry,",said
22381,83952,Hermione,"Exactly,” said Hermione, “",said
22382,83959,Ron,"But even if we wreck the thing it lives in,” said Ron, “Why can’t the bit of",said
22383,83964,Horcrux,Because a Horcrux is the complete opposite of a human being.”,is
22384,83968,Ron,"Which would be a real comfort to me, I’m sure,” said Ron.",said
22385,83969,Harry,Harry Laughed.,laughed
22386,83972,Hermione,"body, your soul will survive untouched,” said Hermione.",said
22387,83977,Harry,"That diary sort of died when I stabbed it,” said Harry, remembering ink",said
22388,83982,Ginny,"Ginny tried to get rid of the diary before you did, flushing",tried
22389,83984,Ron,"Ron, frowning",frowning
22390,83991,Ron,before Ron could speak,speak
22391,83993,Ginny,"Ginny poured her heart out into that diary, she",poured
22392,84003,Dumbledore,when Dumbledore had been,been
22393,84008,Hermione,Hermione shrieked and dropped Secrets of the Darkest Art.,shrieked
